MUNIC_CODE7,MUNIC_CODE6,FU,FU_NAME,LONG,LAT,OBSERVED,EXPECTED,RR_PREV,HDI,HDI_educ,HDI_long,HDI_inc,GeoSES,GeoSESed,GeoSESpv,GeoSESdp,GeoSESwl,GeoSESin,GeoSESsg
1100015,110001,11,RONDONIA,"-61,999824","-11,93554",308,"369,7893997","0,832889","0,641","0,526","0,763","0,657","-0,46844","71,44755","48,08146","7,260275","0,144285","1601,553","0,085033"
1100023,110002,11,RONDONIA,"-63,033269","-9,908463",1429,"1230,234092","1,161644","0,702","0,6","0,806","0,716","-0,2712","61,95579","31,0389","14,75075","0,766355","2468,157","0,07809"
1100031,110003,11,RONDONIA,"-60,544314","-13,499763",65,"105,6435341","0,615268","0,65","0,559","0,757","0,65","-0,40156","71,4306","48,09059","14,59798","0,622587","1534,031","0,104102"
1100049,110004,11,RONDONIA,"-61,442944","-11,433865",1084,"1144,89565","0,946792","0,718","0,62","0,821","0,727","-0,23797","62,18529","32,041","13,86032","0,875472","2434,805","0,095301"
1100056,110005,11,RONDONIA,"-60,818426","-13,195033",235,"266,589504","0,881496","0,692","0,602","0,799","0,688","-0,33329","65,86806","37,00084","13,94824","0,607278","1878,493","0,116418"
1100064,110006,11,RONDONIA,"-60,555067","-13,130564",216,"302,6150955","0,713757","0,685","0,584","0,814","0,676","-0,38669","65,86222","40,25766","12,25385","0,319957","1688,813","0,095623"
1100072,110007,11,RONDONIA,"-60,948701","-12,99752",83,"133,5230891","0,621605","0,613","0,473","0,774","0,63","-0,49425","74,95567","46,43678","8,34991","0,359824","1390,827","0,057823"
1100080,110008,11,RONDONIA,"-64,231654","-12,436014",155,"175,2344702","0,884523","0,611","0,493","0,751","0,616","-0,592","74,47021","57,29149","7,39156",0,"1317,194","0,058248"
1100098,110009,11,RONDONIA,"-61,020173","-11,528555",381,"415,3223714","0,917349","0,672","0,536","0,819","0,691","-0,36479","69,33499","37,53953","9,258858","0,454897","1929,003","0,094246"
1100106,110010,11,RONDONIA,"-65,323952","-10,773884",522,"533,8800285","0,977744","0,657","0,519","0,823","0,663","-0,48542","67,24732","46,06689","9,95017","0,517259","1844,783","0,042384"
1100114,110011,11,RONDONIA,"-62,476231","-10,435949",642,"732,398855","0,876545","0,689","0,577","0,825","0,687","-0,38361","67,308","34,18358","10,93607","0,276963","1914,271","0,073185"
1100122,110012,11,RONDONIA,"-61,945095","-10,882051",1689,"1652,698058","1,021978","0,714","0,617","0,81","0,728","-0,22442","59,44504","28,64036","16,21278","1,038598","2411,825","0,085148"
1100130,110013,11,RONDONIA,"-61,999593","-9,425562",423,"443,830772","0,953059","0,596","0,446","0,755","0,629","-0,55679","77,00139","52,8879","8,204106","0,14348","1387,286","0,040386"
1100148,110014,11,RONDONIA,"-62,30823","-11,721325",225,"300,8453138","0,747874","0,643","0,524","0,763","0,664","-0,44368","71,5234","48,21192","7,811031","0,16893","1938,942","0,074635"
1100155,110015,11,RONDONIA,"-62,261055","-10,723574",505,"555,9707544","0,908306","0,682","0,569","0,812","0,687","-0,34541","67,24363","31,84067","12,43802","0,756665","1974,867","0,075791"
1100189,110018,11,RONDONIA,"-61,183666","-11,677537",496,"481,4324366","1,030264","0,71","0,613","0,803","0,726","-0,28048","62,1385","26,81871","15,39817","0,110416","2560,196","0,086747"
1100205,110020,11,RONDONIA,"-63,831446","-8,768892",6632,"5599,805375","1,184734","0,736","0,638","0,819","0,764","-0,10745","54,66056","25,27988","25,76926","1,425152","3369,488","0,070639"
1100254,110025,11,RONDONIA,"-61,909439","-11,173205",275,"356,7104298","0,770913","0,664","0,55","0,792","0,671","-0,4147","69,77995","41,12002","11,39034","0,348917","1866,111","0,089323"
