Cod_ID,NOME_UDH,CODMUN6,NOME_MUN,CODUF,NOME_UF,CODRM,NOME_RM,ANO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBFUND,T_FBMED,T_FBSUPER,T_FLBAS,T_FLFUND,T_FLMED,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,CPR,EMP,P_FORMAL,TRABCC,TRABPUB,TRABSC,P_FUND,P_MED,P_SUPER,REN0,REN1,REN2,REN3,REN5,RENOCUP,THEILtrab,T_ATIV,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M10A17CF,T_MULCHEFEFIF014,T_NESTUDA_NTRAB_MMEIO,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_MULCHEFE,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,HOMEM0A4,HOMEM10A14,HOMEM15A19,HOMEM20A24,HOMEM25A29,HOMEM30A34,HOMEM35A39,HOMEM40A44,HOMEM45A49,HOMEM50A54,HOMEM55A59,HOMEM5A9,HOMEM60A64,HOMEM65A69,HOMEM70A74,HOMEM75A79,HOMENS80,HOMEMTOT,MULH0A4,MULH10A14,MULH15A19,MULH20A24,MULH25A29,MULH30A34,MULH35A39,MULH40A44,MULH45A49,MULH50A54,MULH55A59,MULH5A9,MULH60A64,MULH65A69,MULH70A74,MULH75A79,MULHER80,MULHERTOT,PEA,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESOM1014,PESOM1517,PESOM15M,PESOM25M,PESORUR,PESOTOT,PESOURB,PIA,PIA1014,PIA1517,PIA18M,POP,T_FBFUND_tudo,T_FBMED_tudo,T_FBBAS_tudo,T_FLFUND_tudo,T_FLMED_tudo,T_FLBAS_tudo,T_FUND11A13_tudo,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R,CODDIST,DISTRITO,REGIAO8,SUBPREF
1355030801001,Jardim Anália Franco / Vila Formosa : Hospital Zona Leste Ltda / Hospital Montemagno,355030,São Paulo (SP),35,SP,63500,RM São Paulo (SP),2000,76.57,1.31,12.30,14.31,94.77,85.80,42.02,10.87,11.49,0.25,0.66,2.35,0.37,2.46,0.80,2.86,5.63,2.91,104.75,104.00,106.73,37.85,94.29,96.25,72.57,29.14,49.90,90.08,41.57,8.33,91.21,98.68,96.31,13.61,1.72,8.66,92.35,76.03,86.61,65.91,61.88,61.31,67.50,49.74,46.29,17.00,488.02,847.21,1335.23,2337.63,3416.16,0.47,0.21,0.65,0.64,1.63,4.01,7.20,33.57,4.22,51.53,12.53,26.43,48.47,85.52,10.72,8.22,1562.09,329.29,5244.36,649.43,1085.64,1721.35,4024.75,1562.09,39.04,79.05,165.76,0.39,0.14,24.73,4.16,0.10,54.47,0.59,15.12,27.42,10.67,66.06,38.37,6.19,15.34,78.71,62.30,21.71,2.02,9.40,29.63,41.97,63.89,2949.60,0.46,,1.39,33.48,82.65,66.32,83.40,,72.60,24.09,16.64,11.16,12.57,100.00,99.70,20.64,100.00,100.00,0.00,,7.04,50.10,1.32,12.01,1.28,27.35,0.80,29.23,1.11,,1.53,0.00,47.17,1.90,100.00,,578,722,873,846,765,762,792,727,615,537,416,579,359,301,273,172,105,9419,550,722,813,909,851,797,892,819,742,625,531,606,461,445,387,267,231,10644,,20,330,10161,213,1188,880,904,667,16308,987,3440,1044,15321,1042,2454,1075,12868,248,248,196,1192,3366,2180,722,461,8767,7045,0,20062,20062,17752,1444,987,15321,20013,108.60,115.50,110.49,99.02,75.18,96.55,96.92,0.659,0.802,0.818,0.751,0.860,0.848,85,Vila Formosa,Leste 1,Aricanduva/Formosa/Carrão
1355030801002,Vila Califórnia,355030,São Paulo (SP),35,SP,63500,RM São Paulo (SP),2000,76.78,1.32,12.00,13.97,94.89,86.09,43.84,11.97,11.52,0.74,0.63,2.51,0.63,2.62,1.45,2.97,7.12,2.23,101.93,106.80,89.23,41.99,93.13,96.08,63.85,25.99,45.46,91.88,43.79,11.10,91.07,99.26,97.22,19.23,2.51,8.26,87.00,70.65,79.94,65.65,63.20,49.02,57.73,50.44,49.19,20.56,531.40,902.84,1399.65,2342.51,3448.69,0.47,,,0.36,0.27,4.14,9.06,34.47,4.42,51.65,12.80,26.54,48.35,78.44,10.77,8.07,1651.79,364.84,5693.41,692.37,1134.35,1801.66,4265.73,1651.79,,84.85,177.96,0.38,1.18,21.45,2.89,0.00,55.71,0.25,15.21,27.30,8.56,67.80,40.80,7.79,14.35,79.86,65.03,26.16,1.20,5.71,28.78,41.08,64.26,2953.98,0.42,,0.86,32.98,79.25,63.24,86.52,,100.00,40.28,20.32,11.16,13.16,100.00,99.07,23.34,100.00,100.00,0.00,,10.11,54.54,0.74,12.57,2.46,28.12,0.00,19.52,1.22,,0.77,0.00,31.00,6.78,63.75,,579,665,801,771,696,735,766,686,581,523,414,599,403,333,265,171,144,9132,551,686,773,840,821,769,852,846,715,643,520,565,533,439,406,301,297,10557,,12,313,9546,224,1086,815,830,680,16044,949,3185,938,15095,951,2236,965,12859,226,234,241,1195,3230,2356,686,477,8755,7142,0,19689,19689,17395,1351,949,15095,19545,114.27,110.57,113.24,99.26,69.35,97.65,92.11,0.657,0.744,0.808,0.714,0.863,0.857,20,Carrão,Leste 1,Aricanduva/Formosa/Carrão
1355030801003,Vila Carrão / Vila Formosa : Cemitério Vila Formosa,355030,São Paulo (SP),35,SP,63500,RM São Paulo (SP),2000,72.90,1.84,18.00,20.96,92.48,80.38,44.07,11.77,10.80,1.07,0.72,3.55,1.02,3.74,1.24,4.25,10.76,5.32,108.31,113.64,94.76,14.88,93.36,95.66,56.70,8.40,30.58,89.70,29.94,10.22,84.61,98.34,95.90,28.54,4.18,11.50,90.04,63.05,71.66,51.19,45.99,37.55,40.41,31.46,29.18,5.25,278.17,430.24,624.67,976.05,1439.67,0.42,0.93,1.48,4.50,8.27,17.45,25.54,30.80,5.20,47.75,15.10,29.81,52.25,83.44,8.16,6.32,710.57,184.91,2188.54,351.73,522.56,797.06,1696.59,710.57,51.49,98.67,172.34,0.31,0.00,18.81,3.94,0.00,50.84,0.55,21.04,21.78,1.71,59.16,46.57,5.53,23.47,60.54,39.47,6.10,0.94,12.84,54.56,67.89,85.68,1457.06,0.32,,4.02,42.73,82.46,69.11,88.00,,55.89,49.88,28.04,16.35,15.04,99.99,99.12,46.48,100.00,100.00,0.00,,20.46,69.42,1.66,17.93,5.71,37.22,1.49,47.52,5.48,,1.00,0.00,35.37,13.99,34.87,,312,409,477,489,406,409,400,407,341,264,220,367,247,218,164,93,69,5292,308,407,495,465,480,427,495,451,430,337,272,318,309,283,228,147,124,5976,,33,238,5937,122,653,489,484,381,9147,557,1926,571,8590,639,1369,625,7221,117,130,120,718,1928,1326,407,292,4943,3983,0,11268,11268,9963,816,557,8590,11166,121.52,108.65,117.89,98.34,59.07,96.04,94.69,0.512,0.688,0.710,0.623,0.798,0.721,20,Carrão,Leste 1,Aricanduva/Formosa/Carrão
1355030801004,Vila Formosa : Escola Municipal de Ensino Fundamental Professor Gastão Strang / Escola Estadual Professor Paulo Cavalcanti Albuquerque / Escola Estadual Antônio Candido Barone,355030,São Paulo (SP),35,SP,63500,RM São Paulo (SP),2000,74.85,1.51,14.80,17.24,93.75,83.33,44.47,10.93,11.48,0.86,1.11,3.77,0.85,3.94,1.25,4.58,8.23,3.63,105.34,104.49,107.39,29.50,91.42,90.39,61.86,18.98,38.57,94.24,39.80,10.02,88.41,97.75,96.72,22.70,2.47,12.14,83.07,68.02,80.00,54.64,49.57,46.13,52.38,36.37,33.17,9.28,357.88,585.63,878.44,1394.35,1952.09,0.43,0.36,1.36,2.44,4.71,9.72,15.38,32.42,4.99,48.74,14.57,29.14,51.26,78.53,8.90,6.69,996.25,248.38,3229.90,477.52,725.62,1101.96,2427.78,996.25,36.85,98.63,180.24,0.33,0.08,20.94,5.50,0.00,53.81,0.31,18.66,22.88,3.62,66.31,49.50,4.62,18.33,67.94,47.01,12.26,1.05,10.60,46.07,61.18,82.22,1823.08,0.37,,2.42,43.44,86.81,66.79,89.73,,67.94,57.33,25.36,14.69,9.64,99.99,99.01,33.40,99.87,100.00,0.00,,16.04,61.43,2.25,18.34,3.37,35.84,1.25,40.35,2.64,,1.78,0.00,26.72,14.38,80.94,,898,1067,1198,1270,1050,991,1073,965,843,667,540,891,573,441,417,242,199,13320,843,1078,1273,1315,1070,1136,1245,1166,976,840,735,860,732,618,528,358,302,15072,,52,606,14268,304,1749,1303,1317,1061,22757,1394,5056,1445,21363,1622,3662,1632,17702,376,366,338,1781,4923,3104,1078,731,12292,9704,0,28392,28392,24902,2145,1394,21363,28306,116.98,122.56,118.61,97.75,66.74,97.23,92.39,0.546,0.714,0.749,0.653,0.831,0.775,85,Vila Formosa,Leste 1,Aricanduva/Formosa/Carrão
1355030801005,Aricanduva : Centro de Educação Infantil Coryntho Baldoino da Costa Filho / Escola Estadual Professor Moacyr Campos,355030,São Paulo (SP),35,SP,63500,RM São Paulo (SP),2000,75.02,1.50,14.60,16.95,93.85,83.58,41.22,9.56,10.96,1.13,0.52,3.78,1.11,4.00,1.81,4.60,12.31,9.83,105.48,104.81,107.23,23.77,88.57,91.84,57.55,13.52,30.93,84.42,31.04,9.78,72.67,95.18,92.21,18.80,3.17,12.13,80.90,67.69,84.36,61.82,56.60,44.56,53.11,41.22,38.47,9.88,325.35,566.50,836.61,1399.00,2025.29,0.47,1.34,2.97,4.53,9.07,14.94,25.28,35.06,3.85,51.91,12.65,26.52,48.09,81.31,11.08,8.20,1009.63,194.49,3540.03,444.35,700.00,1088.67,2620.62,1009.63,61.65,95.48,162.10,0.41,0.44,22.17,4.52,0.00,55.93,0.27,13.61,20.92,4.46,65.99,47.79,5.82,20.58,72.98,53.13,12.92,0.43,10.64,42.34,55.23,79.59,1956.39,0.38,,6.13,40.37,83.17,67.46,86.17,,61.39,53.18,31.31,15.71,13.53,99.99,98.08,33.76,100.00,100.00,0.00,,12.83,69.07,4.82,12.53,4.30,30.81,2.21,36.41,5.99,,1.88,0.00,44.68,13.54,64.46,,224,270,315,319,285,264,267,254,220,202,170,234,143,137,78,51,32,3460,226,273,352,343,296,306,274,292,262,251,214,221,201,144,119,67,80,3916,,33,155,3741,94,444,333,348,259,5929,385,1328,408,5545,412,943,420,4602,97,102,79,451,1280,705,273,202,3197,2503,0,7375,7375,6472,543,385,5545,7343,110.82,118.29,112.88,95.18,62.45,92.84,90.77,0.618,0.665,0.749,0.649,0.834,0.777,4,Aricanduva,Leste 1,Aricanduva/Formosa/Carrão
1355030801006,Vila Rica : Escola Municipal de Ensino Fundamental Doutor João Naoki Sumita / Escola Estadual Brigadeiro Eduardo Gomes,355030,São Paulo (SP),35,SP,63500,RM São Paulo (SP),2000,76.55,1.30,12.30,14.34,94.76,85.77,37.07,8.80,11.15,1.15,1.88,2.06,1.13,2.07,1.28,2.27,7.55,3.39,106.41,108.02,102.36,33.54,88.87,94.19,54.98,17.51,45.58,81.58,32.50,9.23,98.84,98.10,93.39,17.69,1.47,10.65,90.63,65.86,76.86,66.05,63.90,37.28,50.92,48.74,48.31,18.49,527.39,927.24,1301.39,2127.78,3123.34,0.45,0.25,0.74,0.70,1.36,4.77,9.23,33.42,4.64,50.21,14.06,28.20,49.79,80.89,9.51,7.14,1546.80,359.14,5169.81,728.34,1093.58,1670.03,3882.90,1546.80,65.07,82.98,186.57,0.36,0.22,17.53,1.90,0.00,65.21,0.16,12.39,21.50,4.10,70.34,52.93,4.50,15.71,77.35,58.63,20.82,1.26,6.20,32.82,46.29,69.40,2421.04,0.36,,1.83,40.63,84.16,71.91,87.13,,46.14,48.00,13.20,10.15,8.27,100.00,99.21,29.77,100.00,100.00,0.00,,12.34,54.42,1.90,12.91,1.24,22.85,2.53,9.38,1.43,,0.92,0.00,39.56,3.16,88.37,,124,141,194,215,179,176,171,145,149,143,129,150,104,75,50,32,13,2190,125,172,199,224,211,163,190,172,180,183,134,132,114,81,67,46,43,2436,,6,87,2566,49,260,193,206,149,3782,213,832,242,3569,260,619,255,2950,51,62,48,273,746,407,172,103,2007,1584,0,4626,4626,4095,313,213,3569,4626,115.08,118.08,115.94,98.10,62.73,94.21,92.50,0.661,0.732,0.801,0.708,0.859,0.846,4,Aricanduva,Leste 1,Aricanduva/Formosa/Carrão
1355030801007,Jardim Anália Franco : Hospital Maggiori,355030,São Paulo (SP),35,SP,63500,RM São Paulo (SP),2000,75.38,1.42,14.00,16.30,94.08,84.11,32.23,12.48,10.32,1.64,0.00,0.15,0.00,0.16,0.00,0.19,16.88,10.69,106.41,117.40,86.35,17.94,88.42,91.14,43.43,8.78,27.69,85.02,31.89,7.12,94.30,95.97,92.09,34.29,3.53,15.73,83.74,52.65,76.09,54.50,49.79,43.65,48.02,36.26,33.69,8.79,352.16,546.98,852.41,1464.07,2245.29,0.48,,,1.88,3.90,8.71,15.09,37.65,4.69,53.67,13.03,25.75,46.33,75.79,11.56,8.24,1091.63,256.06,4109.68,455.27,694.33,1122.92,2929.57,1091.63,,103.38,185.94,0.40,0.00,19.26,3.84,0.00,56.49,0.76,17.18,23.32,4.00,62.50,48.26,4.44,18.27,67.24,48.06,10.98,1.70,10.22,45.32,58.20,80.11,1969.31,0.41,,4.35,39.12,81.99,65.43,91.21,,52.96,52.92,21.25,13.20,6.70,100.00,95.18,32.88,98.42,100.00,0.00,,13.63,72.31,4.03,16.25,2.25,33.79,1.82,31.98,2.37,,0.50,0.00,25.75,14.34,100.00,,20,40,58,73,66,35,48,39,51,46,48,33,53,46,25,12,7,700,27,30,56,93,74,39,49,64,64,63,71,30,55,46,23,17,13,814,,3,27,828,10,61,44,45,27,1334,69,280,79,1265,78,211,82,1054,10,11,7,61,191,189,30,35,727,578,0,1514,1514,1404,70,69,1265,1514,124.99,94.89,114.34,95.97,46.51,92.74,87.92,0.545,0.686,0.750,0.635,0.840,0.790,85,Vila Formosa,Leste 1,Aricanduva/Formosa/Carrão
1355030801008,Jardim Anália Franco : Estádio Municipal do Trabalhador / Ceret,355030,São Paulo (SP),35,SP,63500,RM São Paulo (SP),2000,77.33,1.28,11.20,13.10,95.20,86.86,35.92,9.12,10.55,0.49,0.14,1.42,0.56,1.51,0.68,1.70,10.47,7.99,105.34,103.19,111.25,42.48,88.66,89.83,61.13,22.15,44.14,88.34,40.40,17.69,86.44,94.53,92.88,19.52,2.33,9.29,71.14,73.51,80.83,72.94,71.31,50.62,59.14,59.10,59.09,28.33,589.21,1087.59,1737.36,3113.58,4294.60,0.48,0.26,0.91,1.55,2.68,3.95,6.59,34.75,3.63,52.27,11.71,25.17,47.73,80.34,11.87,8.93,2030.45,368.84,7056.70,820.16,1366.43,2290.06,5306.76,2030.45,66.37,95.74,162.55,0.43,0.77,18.30,3.15,0.00,66.01,0.32,10.27,23.12,6.25,71.89,51.44,5.59,12.06,83.45,69.60,32.58,1.54,5.97,25.60,36.88,58.79,3299.20,0.44,,3.86,29.10,73.98,69.48,86.55,,63.47,41.96,18.44,10.12,9.70,99.93,97.62,24.83,100.00,100.00,0.00,,5.71,55.86,5.47,10.07,2.09,18.69,0.00,16.49,1.45,,1.01,0.00,50.22,7.61,91.72,,192,260,305,299,276,244,276,309,266,236,190,223,149,111,100,44,26,3503,161,245,368,377,316,296,323,328,307,255,190,205,163,138,114,71,76,3928,,19,108,4013,58,406,302,303,222,6146,370,1348,416,5776,433,978,437,4798,73,72,84,455,1231,678,245,195,3318,2574,0,7431,7431,6651,505,370,5776,7396,111.93,143.18,120.25,94.53,69.60,93.32,77.93,0.729,0.704,0.821,0.712,0.872,0.890,85,Vila Formosa,Leste 1,Aricanduva/Formosa/Carrão
1355030801009,Jardim Anália Franco : 48 Distrito Policial / Vila Formosa,355030,São Paulo (SP),35,SP,63500,RM São Paulo (SP),2000,74.84,1.51,14.80,17.26,93.74,83.32,42.77,11.89,10.22,1.44,0.67,3.14,0.85,3.32,0.93,3.83,9.65,7.39,101.79,101.19,103.22,29.85,88.57,91.60,64.84,17.99,31.59,83.56,35.26,15.39,78.06,93.90,90.85,15.44,2.13,13.21,80.19,69.75,76.29,56.60,52.18,45.69,53.88,39.47,36.23,10.46,320.79,558.30,851.11,1431.53,1952.09,0.46,0.34,0.90,4.05,7.44,14.10,24.98,33.83,4.17,50.96,12.86,27.07,49.04,80.53,10.52,7.93,992.58,206.89,3357.52,431.30,705.21,1090.55,2528.93,992.58,55.75,106.82,169.65,0.38,0.00,19.76,3.98,0.00,57.05,0.36,18.35,23.51,2.60,63.68,49.97,3.05,20.14,66.28,49.29,12.84,0.72,10.71,47.41,60.69,80.81,1851.71,0.38,,2.99,45.30,83.24,68.91,87.71,,73.58,55.64,20.55,14.35,17.07,100.00,99.14,39.42,99.93,100.00,0.05,,27.66,68.41,6.10,21.26,5.78,33.58,2.08,40.94,4.66,,1.43,0.00,34.11,14.35,68.47,,78,78,121,121,114,95,96,102,105,65,50,82,44,39,32,28,22,1272,70,93,129,131,101,81,104,123,121,68,67,90,65,61,65,44,32,1445,,5,68,1431,36,139,101,108,83,2226,150,502,159,2076,146,352,151,1724,29,32,32,172,461,323,93,71,1192,932,0,2717,2717,2397,171,150,2076,2717,106.73,109.82,107.64,93.90,67.93,91.53,86.45,0.566,0.684,0.745,0.642,0.831,0.775,85,Vila Formosa,Leste 1,Aricanduva/Formosa/Carrão
1355030801010,Vila California : Av. Conselheiro Carrão / Rua Pinhalzinho,355030,São Paulo (SP),35,SP,63500,RM São Paulo (SP),2000,72.90,1.84,18.00,20.96,92.48,80.38,57.34,9.93,10.80,2.27,6.45,4.44,3.75,4.30,1.75,4.42,10.76,5.32,108.31,113.64,94.76,14.88,93.36,95.66,56.70,8.40,30.58,89.70,29.94,10.22,84.61,98.34,95.90,28.54,4.18,11.50,90.04,63.05,71.66,51.19,45.99,37.55,40.41,31.46,29.18,5.25,278.17,430.24,624.67,976.05,1439.67,0.42,0.93,1.48,4.50,8.27,17.45,25.54,30.80,5.20,47.75,15.10,29.81,52.25,83.44,8.16,6.32,710.57,184.91,2188.54,351.73,522.56,797.06,1696.59,710.57,51.49,98.67,172.34,0.31,0.00,18.81,3.94,0.00,50.84,0.55,21.04,21.78,1.71,59.16,46.57,5.53,23.47,60.54,39.47,6.10,0.94,12.84,54.56,67.89,85.68,1457.06,0.32,,4.02,42.73,82.46,69.11,88.00,,55.89,49.88,28.04,16.35,15.04,100.00,99.12,46.48,100.00,100.00,0.00,,20.46,69.42,1.66,17.93,5.71,37.22,1.49,47.52,5.48,,1.00,0.00,35.37,13.99,34.87,,28,26,20,34,28,26,26,17,10,16,16,35,13,8,6,5,2,316,34,29,29,28,29,27,19,26,16,16,16,27,17,14,16,8,8,359,,2,13,321,6,44,34,34,40,496,31,111,27,465,32,80,35,385,16,8,17,65,140,67,29,17,269,212,0,675,675,551,55,31,465,675,121.52,108.65,117.89,98.34,59.07,96.04,94.69,0.512,0.688,0.710,0.623,0.798,0.721,20,Carrão,Leste 1,Aricanduva/Formosa/Carrão
